"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CLOTHYD","CLOTHYD_","CLSVGFTC","CLSV_FTC","CLOTHMOD","CLOT_MOD","CLSRVCX","CLSRVCX_","CLOTHD1","CLOTHD1_","CLOTHD2","CLOTHD2_","CLOTHD3","CLOTHD3_","CLOTHD4","CLOTHD4_","CLOTHD5","CLOTHD5_","CLOTHD6","CLOTHD6_","CLOTHD7","CLOTHD7_","CLOTHD8","CLOTHD8_","CLOTHD9","CLOTHD9_"
"20191","03891394","1","0","2","450","D","1","D","10","D","75","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03891714","15","0","1","470","D","1","D","11","D","150","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03891944","7","0","1","460","D","1","D","12","D","15","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03893874","3","0","1","450","D","1","D","12","D","65","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03895324","5","0","1","460","D","1","D","10","D","150","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03895604","8","0","1","450","D","1","D","11","D","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03896134","6","0","1","480","D","1","D","10","D","250","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03896304","10","0","2","450","D","1","D","10","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03896304","11","0","2","470","D","1","D","10","D","25","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03896684","2","0","1","460","D","1","D","10","D","113","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898064","2","0","1","470","D","1","D","12","D","108","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898984","7","0","1","460","D","1","D","12","D","26","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03899524","7","0","1","460","D","1","D","12","D","38","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03899904","4","0","1","470","D","1","D","10","D","7","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03900484","7","0","1","460","D","1","D","12","D","21","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03901824","9","0","1","470","D","1","D","12","D","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03903334","3","0","1","470","D","1","D","12","D","175","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03903924","14","0","1","460","D","1","D","11","D","22","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03903964","6","0","1","460","D","1","D","12","D","108","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03904624","4","0","1","450","D","1","D","01","D","85","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03905934","12","0","1","460","D","1","D","12","D","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03905934","13","0","1","450","D","1","D","12","D","75","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03906004","6","0","1","470","D","1","D","11","D","209","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03907684","1","0","2","460","D","1","D","11","D","45","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03907954","2","0","1","450","D","1","D","12","D","12","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03908534","20","0","1","480","D","1","D","11","D","212","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03908534","21","0","2","450","D","1","D","11","D","42","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03911144","10","0","1","450","D","1","D","11","D","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03911334","6","0","2","450","D","1","D","11","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03912274","5","0","1","460","D","1","D","01","D","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03922844","4","0","1","450","D","1","D","12","D","25","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03923194","3","0","2","450","D","1","D","12","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03923504","7","0","1","470","D","1","D","12","D","45","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03923604","4","0","2","450","D","1","D","12","D","16","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03924294","1","0","1","450","D","1","D","01","D","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03925104","5","0","1","450","D","1","D","12","D","118","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03926214","6","0","1","470","D","1","D","02","D","34","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03926464","3","0","1","450","D","1","D","01","D","134","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03926534","6","0","1","450","D","1","D","01","D","53","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03927154","5","0","1","470","D","1","D","12","D","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03927204","2","0","1","470","D","1","D","02","D","260","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03928414","2","0","1","450","D","1","D","01","D","17","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03928414","3","0","1","450","D","1","D","12","D","23","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03928414","4","0","1","470","D","1","D","01","D","49","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03929724","8","0","1","470","D","1","D","02","D","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03929934","6","0","1","450","D","1","D","02","D","22","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03931084","16","0","1","490","D","1","D","12","D","159","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03931084","17","0","1","490","D","1","D","01","D","159","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03931084","18","0","1","490","D","1","D","02","D","159","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03931254","8","0","2","450","D","1","D","12","D","12","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03931354","8","0","1","470","D","1","D","02","D","15","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03931624","1","0","1","470","D","1","D","01","D","300","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03932204","4","0","1","450","D","1","D","02","D","109","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03932204","5","0","1","460","D","1","D","01","D","22","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03932204","6","0","1","460","D","1","D","02","D","22","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03932204","7","0","1","460","D","1","D","12","D","22","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03932344","4","0","2","460","D","1","D","12","D","15","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03932584","4","0","1","450","D","1","D","02","D","75","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03932684","9","0","1","460","D","1","D","12","D","80","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03932754","14","0","1","460","D","1","D","02","D","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03933034","5","0","1","460","D","1","D","02","D","10","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03933524","4","0","1","470","D","1","D","01","D","11","F","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03944503","4","0","1","450","D","1","D","12","D","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03944633","15","0","1","480","D","1","D","10","D","131","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03944633","16","0","2","480","D","1","D","10","D","220","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03945203","8","0","1","460","D","1","D","11","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03945223","3","0","1","470","D","2","D","12","D","25","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03945733","7","0","1","460","D","1","D","11","D","54","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03946603","2","0","1","450","D","1","D","12","D","32","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03948883","5","0","1","470","D","1","D","11","D","10","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03949643","4","0","1","460","D","1","D","12","D","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03949643","5","0","1","470","D","1","D","12","D","70","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03950813","24","0","1","480","D","1","D","12","D","150","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03950953","11","0","1","450","D","1","D","11","D","150","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03951023","5","0","1","460","D","1","D","12","D","54","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03951423","11","0","1","470","D","1","D","12","D","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03951773","7","0","1","470","D","1","D","11","D","8","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03952553","4","0","1","470","D","1","D","11","D","64","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03953013","5","0","1","450","D","1","D","12","D","53","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03953093","2","0","2","450","D","1","D","10","D","8","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03953893","2","0","1","470","D","1","D","11","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03954033","3","0","1","470","D","1","D","12","D","8","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03954293","28","0","1","450","D","1","D","10","D","321","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03954543","9","0","1","450","D","1","D","12","D","13","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03964903","4","0","1","470","D","1","D","12","D","11","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03965093","28","0","1","460","D","1","D","11","D","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03965093","29","0","1","450","D","1","D","11","D","75","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03965413","4","0","1","450","D","1","D","11","D","77","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03965653","11","0","1","460","D","1","D","01","D","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03965653","12","0","2","450","D","1","D","11","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03965673","12","0","1","450","D","1","D","01","D","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03965673","13","0","1","450","D","1","D","01","D","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03965673","14","0","1","460","D","1","D","01","D","25","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03965673","15","0","2","450","D","1","D","11","D","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03965673","16","0","2","460","D","1","D","11","D","25","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03966293","5","0","1","450","D","1","D","01","D","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03966623","4","0","1","470","D","1","D","01","D","21","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03967033","5","0","1","450","D","1","D","01","D","12","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03967733","5","0","1","450","D","1","D","01","D","7","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03967733","6","0","1","460","D","1","D","01","D","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03967743","24","0","1","450","D","1","D","12","D","214","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03968063","10","0","1","450","D","1","D","01","D","18","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03968213","11","0","1","470","D","1","D","01","D","106","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03968773","4","0","1","470","D","1","D","11","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03969083","3","0","1","470","D","1","D","12","D","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03970523","12","0","1","470","D","1","D","01","D","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03971653","5","0","1","450","D","1","D","11","D","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03972203","6","0","1","470","D","1","D","12","D","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03972563","1","0","2","450","D","1","D","11","D","15","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03972823","1","0","1","490","D","1","D","11","D","48","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03972923","1","0","1","450","D","1","D","01","D","85","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03973683","10","0","2","460","D","1","D","11","D","80","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03973743","2","0","1","470","D","1","D","12","D","15","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03973773","2","0","1","450","D","1","D","01","D","64","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03973883","12","0","1","450","D","1","D","12","D","17","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03974293","1","0","1","450","D","1","D","01","D","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03974563","13","0","1","450","D","2","D","11","D","218","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03975143","7","0","1","470","D","1","D","12","D","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03975163","2","0","1","450","D","1","D","11","D","10","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03985543","7","0","1","450","D","1","D","12","D","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03986093","13","0","1","460","D","1","D","02","D","11","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03986413","4","0","1","460","D","1","D","01","D","22","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03986413","5","0","1","460","D","1","D","02","D","15","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03987683","25","0","1","460","D","1","D","02","D","25","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03987733","4","0","1","460","D","1","D","02","D","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03988243","6","0","2","450","D","1","D","12","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03989043","6","0","1","450","D","1","D","02","D","65","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03989073","4","0","2","490","D","1","D","12","D","103","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03989083","9","0","1","450","D","1","D","02","D","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03990673","7","0","1","450","D","1","D","12","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03990793","5","0","1","450","D","1","D","02","D","14","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03990913","4","0","1","470","D","1","D","01","D","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03991173","2","0","1","450","D","1","D","01","D","21","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03991213","11","0","1","470","D","1","D","02","D","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03991563","1","0","1","470","D","1","D","02","D","4","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03991623","3","0","1","450","D","1","D","02","D","54","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03992893","5","0","1","450","D","1","D","01","D","37","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03992893","6","0","2","450","D","1","D","12","D","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03993803","5","0","1","470","D","1","D","02","D","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03995953","8","0","2","450","D","1","D","12","D","18","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03996193","15","0","1","450","D","1","D","01","D","9","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04007022","5","0","1","470","D","1","D","12","D","54","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04007062","7","0","2","470","D","1","D","10","D","269","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04007102","7","0","1","460","D","1","D","12","D","54","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04007102","8","0","1","450","D","1","D","12","D","81","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04007972","1","0","1","470","D","1","D","12","D","65","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04008632","2","0","2","450","D","1","D","10","D","18","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04008762","5","0","2","450","D","1","D","10","D","234","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04010822","7","0","1","450","D","1","D","10","D","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04011062","17","0","1","470","D","1","D","11","D","14","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04011462","7","0","1","450","D","1","D","12","D","24","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04011602","7","0","1","450","D","1","D","10","D","35","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04011672","10","0","1","470","D","1","D","12","D","14","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04012262","2","0","1","470","D","1","D","12","D","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04012832","5","0","1","470","D","1","D","12","D","11","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04013672","1","0","1","470","D","2","D","12","D","300","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04013822","11","0","2","470","D","1","D","10","D","9","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04014272","4","0","1","480","D","1","D","11","D","36","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04014272","5","0","1","480","D","1","D","12","D","174","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04014632","5","0","2","500","D","1","D","10","D","","H","500","D","450","D","","A","","A","","A","","A","","A","","A","","A"
"20191","04014632","5","1","2","450","D","1","D","10","D","14","E","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04014632","5","2","2","480","D","1","D","10","D","26","E","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04015022","3","0","2","450","D","1","D","10","D","53","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04015222","4","0","1","470","D","1","D","11","D","354","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04015402","10","0","2","470","D","1","D","10","D","80","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04015442","10","0","1","470","D","1","D","12","D","11","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04016942","2","0","1","460","D","1","D","11","D","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04017002","3","0","2","480","D","1","D","10","D","183","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04017142","8","0","1","450","D","1","D","12","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04017342","2","0","1","470","D","1","D","11","D","64","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04029542","2","0","1","450","D","1","D","11","D","16","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04029762","2","0","1","460","D","1","D","01","D","13","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04029952","3","0","1","470","D","1","D","01","D","27","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04030632","13","0","1","450","D","1","D","12","D","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04030922","10","0","1","470","D","1","D","01","D","11","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04032162","11","0","1","450","D","1","D","01","D","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04032392","20","0","1","450","D","1","D","01","D","32","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04032442","12","0","1","450","D","1","D","01","D","70","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04032472","6","0","1","460","D","1","D","01","D","4","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04032812","3","0","1","470","D","1","D","01","D","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04034172","8","0","1","450","D","1","D","01","D","35","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04035672","3","0","1","450","D","1","D","12","D","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04037022","1","0","1","470","D","1","D","01","D","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04037372","6","0","1","460","D","1","D","01","D","25","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04038052","26","0","1","450","D","1","D","01","D","810","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04038052","27","0","1","450","D","1","D","12","D","275","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04038612","7","0","1","460","D","1","D","12","D","21","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04038642","2","0","1","450","D","1","D","12","D","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04038702","6","0","1","460","D","1","D","12","D","120","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04039442","5","0","1","450","D","1","D","01","D","65","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04039442","6","0","1","450","D","1","D","01","D","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04039442","7","0","1","450","D","1","D","02","D","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04039442","8","0","2","450","D","1","D","12","D","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04039442","9","0","2","450","D","1","D","12","D","36","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04040062","15","0","1","450","D","1","D","01","D","80","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04040062","16","0","1","480","D","1","D","12","D","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04040142","6","0","1","490","D","1","D","02","D","237","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04041142","2","0","2","450","D","1","D","12","D","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04041432","5","0","1","450","D","1","D","01","D","16","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04041432","6","0","1","460","D","1","D","12","D","22","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04041464","12","0","2","450","D","1","D","12","D","27","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04041562","1","0","1","460","D","1","D","01","D","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04041622","3","0","1","450","D","1","D","02","D","54","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04041962","3","0","2","450","D","1","D","12","D","54","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04042142","7","0","1","450","D","1","D","12","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04042142","8","0","1","450","D","1","D","12","D","12","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04042142","9","0","1","450","D","1","D","02","D","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04042272","6","0","1","460","D","1","D","01","D","35","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04042602","4","0","1","480","D","1","D","12","D","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04042642","11","0","1","470","D","1","D","01","D","9","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04042884","6","0","1","450","D","1","D","01","D","218","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04042952","9","0","1","450","D","1","D","02","D","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04043302","4","0","1","460","D","1","D","01","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04044402","7","0","1","470","D","1","D","12","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04044672","11","0","1","470","D","1","D","01","D","11","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04045112","3","0","1","450","D","1","D","01","D","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04045372","4","0","1","450","D","1","D","02","D","63","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04045642","7","0","2","460","D","1","D","12","D","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04046112","1","0","1","450","D","1","D","02","D","8","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04046372","16","0","1","450","D","1","D","01","D","103","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04046372","17","0","1","450","D","1","D","02","D","103","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04046372","18","0","1","450","D","1","D","12","D","103","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04047162","3","0","1","470","D","1","D","02","D","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04047502","17","0","1","450","D","1","D","12","D","27","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04048242","6","0","1","470","D","1","D","12","D","10","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04069851","5","0","1","460","D","1","D","10","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04069921","5","0","1","470","D","1","D","11","D","10","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04070161","3","0","1","450","D","1","D","11","D","12","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04070661","5","0","1","460","D","1","D","11","D","35","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04070971","4","0","1","470","D","1","D","11","D","21","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04071991","6","0","1","450","D","1","D","11","D","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04071991","7","0","1","490","D","1","D","12","D","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04071991","8","0","1","490","D","1","D","11","D","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04071991","9","0","1","490","D","1","D","10","D","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04073031","10","0","1","450","D","1","D","11","D","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04073591","9","0","1","450","D","1","D","12","D","10","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
