"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CRMCODEA","CRMC_DEA","ADVMATX","ADVMATX_","MATNSPCX","MATN_PCX","CRMCDA1","CRMCDA1_","CRMCDA2","CRMCDA2_","CRMCDA3","CRMCDA3_","CRMCDA4","CRMCDA4_","CRMCDA5","CRMCDA5_","CRMCDA6","CRMCDA6_","CRMCDA7","CRMCDA7_","CRMCDA8","CRMCDA8_","CRMCDA9","CRMCDA9_"
"20191","03892244","8","0","1","","A","","A","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03893594","2","0","1","270","D","155","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03894734","20","0","1","280","D","150","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03895734","10","0","1","130","D","125","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03896124","6","0","1","","A","","A","150","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898984","9","0","1","","A","","A","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03899824","8","0","1","175","D","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03900444","9","0","1","130","D","1000","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03901084","2","0","1","300","D","75","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03901934","5","0","1","300","D","175","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03902544","5","0","1","130","D","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03902814","6","0","1","130","D","13000","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03905154","6","0","1","175","D","140","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03905214","18","0","1","130","D","80","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03905254","15","0","1","300","D","698","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03906624","12","0","1","","A","","A","28","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03911754","27","0","1","130","D","250","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03912644","10","0","1","300","D","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03922894","25","0","1","190","D","21","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03923534","14","0","1","175","D","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03924264","6","0","1","","A","","A","277","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03925074","1","0","1","200","D","112","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03925954","13","0","1","210","D","75","D","47","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03926534","8","0","1","130","D","2000","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03926984","6","0","1","235","D","150","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03927154","7","0","1","175","D","68","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03928074","2","0","1","300","D","100","D","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03930364","6","0","1","260","D","400","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03932294","4","0","1","","A","","A","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03932684","12","0","1","130","D","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03944143","24","0","1","235","D","75","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03946873","4","0","1","260","D","250","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03947033","3","0","1","175","D","35","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03947283","9","0","1","","A","","A","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03947873","4","0","1","210","D","55","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03948113","14","0","1","200","D","115","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03949073","11","0","1","200","D","148","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03949843","21","0","1","","A","","A","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03950793","6","0","1","","A","","A","250","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03952513","4","0","1","200","D","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03953333","7","0","1","300","D","450","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03965163","13","0","1","300","D","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03965363","14","0","1","","A","","A","75","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
