nohhold,nomem,gebjaar,geslacht,positie,oplzon,oplmet,bezighei,aantalhh,aantalki,sted,regio,prov,woonvorm,account,kostwin,partner,woning
6,1,1956,1,1,6,6,9,2,0,5,5,31,2,1,1,1,1
6,2,1960,2,2,5,4,7,2,0,5,5,31,2,0,0,1,1
21,1,1942,1,1,4,4,8,2,0,4,1,28,2,1,1,1,1
21,2,1945,2,2,4,4,8,2,0,4,1,28,2,0,0,1,1
38,1,1928,1,1,3,3,8,2,0,3,4,23,2,1,1,1,2
38,2,1930,2,2,3,3,8,2,0,3,4,23,2,0,0,1,2
106,1,1963,1,1,6,6,1,3,1,5,5,30,3,1,1,1,1
106,2,1968,2,2,3,3,7,3,1,5,5,30,3,0,0,1,1
106,4,2001,1,5,5,3,1,3,1,5,5,30,3,0,0,1,1
173,1,1965,1,1,5,5,1,1,0,3,4,24,1,1,1,0,1
175,1,1932,1,1,3,3,8,2,0,5,4,25,2,1,1,1,1
175,2,1934,2,2,2,2,7,2,0,5,4,25,2,0,0,1,1
262,1,1933,2,2,2,2,7,2,0,2,1,28,2,0,0,1,1
262,2,1935,1,1,4,4,8,2,0,2,1,28,2,1,1,1,1
268,1,1945,1,1,5,5,8,1,0,3,4,25,1,1,1,0,1
338,2,1947,2,1,3,3,8,1,0,2,1,28,1,1,1,0,2
339,1,1938,1,1,3,3,8,2,0,4,3,21,2,0,1,1,2
339,2,1939,2,2,6,6,8,2,0,4,3,21,2,1,0,1,2
349,1,1952,2,2,5,5,7,2,0,5,3,21,2,0,0,1,1
349,2,1952,1,1,7,7,8,2,0,5,3,21,2,1,1,1,1
357,1,1946,1,1,3,3,8,1,0,2,2,27,1,1,1,0,1
371,1,1943,1,1,7,7,8,2,0,2,4,25,2,1,1,1,1
371,2,1949,2,2,5,5,8,2,0,2,4,25,2,0,0,1,1
423,1,1962,1,2,5,5,1,2,0,3,5,30,2,1,0,1,1
423,2,1963,2,1,6,6,1,2,0,3,5,30,2,0,1,1,1
461,1,1967,2,1,6,6,9,1,0,2,4,25,1,1,1,0,1
523,1,1948,1,1,3,3,8,2,0,3,3,21,2,1,1,1,1
523,2,1951,2,2,5,2,7,2,0,3,3,21,2,0,0,1,1
562,1,1930,1,1,7,7,8,2,0,3,5,31,2,0,1,1,1
562,2,1941,2,2,6,6,8,2,0,3,5,31,2,1,0,1,1
571,1,1944,1,1,7,4,8,2,0,4,4,25,2,1,1,1,1
571,2,1951,2,2,6,6,7,2,0,4,4,25,2,0,0,1,1
601,1,1964,1,1,6,6,1,2,0,5,4,23,2,1,1,1,1
601,2,1967,2,2,6,6,1,2,0,5,4,23,2,0,0,1,1
633,1,1952,1,1,7,7,1,5,3,4,5,30,3,1,1,1,1
633,2,1960,2,2,4,4,11,5,3,4,5,30,3,0,0,1,1
633,3,1988,2,5,7,7,1,5,3,4,5,30,3,0,0,1,1
633,4,1991,2,5,7,7,3,5,3,4,5,30,3,0,0,1,1
633,5,1992,1,5,7,7,1,5,3,4,5,30,3,0,0,1,1
655,1,1944,1,2,3,3,8,2,0,NA,NA,NA,2,0,0,1,2
655,2,1946,2,1,6,6,8,2,0,NA,NA,NA,2,1,1,1,2
733,1,1926,2,2,3,3,8,2,0,1,1,28,2,0,0,1,2
733,2,1930,1,1,7,7,8,2,0,1,1,28,2,1,1,1,2
816,1,1951,1,1,6,6,11,2,0,3,4,25,2,1,1,1,1
816,2,1953,2,2,4,4,7,2,0,3,4,25,2,0,0,1,1
819,2,1927,2,1,4,4,8,1,0,2,5,30,1,1,1,0,1
825,1,1949,1,1,4,2,8,2,0,1,2,27,2,1,1,1,1
825,2,1952,2,2,5,5,8,2,0,1,2,27,2,0,0,1,1
844,1,1958,1,1,5,3,1,2,0,5,4,25,2,0,1,1,1
844,2,1965,2,2,4,4,7,2,0,5,4,25,2,1,0,1,1
848,1,1944,1,2,6,6,8,2,0,4,1,27,2,1,0,1,1
848,2,1947,2,1,7,7,8,2,0,4,1,27,2,0,1,1,1
873,1,1957,1,1,4,5,1,3,1,2,4,23,3,1,1,1,2
873,2,1960,2,2,6,6,1,3,1,2,4,23,3,0,0,1,2
873,3,1994,2,5,7,4,6,3,1,2,4,23,3,0,0,1,2
905,1,1940,1,1,4,3,8,1,0,4,5,30,1,1,1,0,2
979,1,1938,1,1,6,6,8,2,0,1,1,28,2,0,1,1,1
979,2,1940,2,2,3,3,8,2,0,1,1,28,2,1,0,1,1
986,1,1933,1,1,2,2,8,2,0,2,5,30,2,0,1,1,1
986,2,1937,2,2,3,3,8,2,0,2,5,30,2,1,0,1,1
1019,1,1939,2,1,6,6,8,1,0,2,4,23,1,1,1,0,1
1072,1,1949,1,1,4,4,8,2,0,5,2,29,2,1,1,1,1
1072,2,1952,2,2,5,5,8,2,0,5,2,29,2,0,0,1,1
1107,1,1933,1,1,7,6,8,1,0,5,2,28,1,1,1,0,1
1112,1,1958,2,2,5,5,1,2,0,1,3,20,2,1,0,1,1
1112,2,1969,1,1,6,5,1,2,0,1,3,20,2,0,1,1,1
1128,1,1960,1,1,7,6,1,1,0,1,1,27,1,1,1,0,1
1155,1,1957,2,1,6,6,1,1,0,3,2,28,1,1,1,0,1
1159,1,1946,1,1,6,6,8,3,1,2,1,28,3,1,1,1,2
1159,2,1952,2,2,3,3,7,3,1,2,1,28,3,0,0,1,2
1159,8,1981,1,5,6,6,12,3,1,2,1,28,3,0,0,1,2
1166,2,1955,2,1,5,5,1,1,0,4,2,29,1,1,1,0,1
1169,1,1936,1,1,7,7,8,2,0,4,2,27,2,1,1,1,1
1169,2,1941,2,2,4,4,8,2,0,4,2,27,2,0,0,1,1
1177,1,1946,1,1,3,3,8,2,0,5,2,29,2,1,1,1,2
1177,2,1957,2,2,2,2,3,2,0,5,2,29,2,0,0,1,2
1197,1,1933,1,1,7,7,8,2,0,2,5,30,2,1,1,1,1
1197,2,1935,2,2,6,6,7,2,0,2,5,30,2,0,0,1,1
1202,1,1946,1,1,3,3,8,2,0,5,4,25,2,1,1,1,1
1202,2,1956,2,2,3,3,7,2,0,5,4,25,2,0,0,1,1
1217,1,1943,1,1,6,6,8,2,0,4,2,28,2,0,1,1,2
1217,2,1950,2,2,5,5,7,2,0,4,2,28,2,1,0,1,2
1242,1,1939,2,1,5,3,7,1,0,2,2,27,1,1,1,0,1
1253,1,1965,1,1,4,4,1,2,0,5,2,29,2,1,1,1,1
1253,2,1965,2,2,6,6,1,2,0,5,2,29,2,0,0,1,1
1263,1,1949,1,1,6,3,8,1,0,2,2,27,1,1,1,0,1
1289,1,1946,2,1,3,3,8,1,0,4,2,29,1,1,1,0,1
1294,1,1961,1,1,6,6,3,3,1,2,2,27,3,1,1,1,1
1294,2,1965,2,2,6,6,1,3,1,2,2,27,3,0,0,1,1
1294,4,1996,2,5,6,4,1,3,1,2,2,27,3,0,0,1,1
1303,1,1961,1,1,5,5,3,2,0,4,2,28,2,1,1,1,1
1303,2,1963,2,2,4,4,11,2,0,4,2,28,2,0,0,1,1
1337,1,1939,2,1,6,6,8,1,0,3,2,27,1,1,1,0,1
1350,2,1936,2,1,4,4,8,1,0,3,5,30,1,1,1,0,1
1375,1,1949,2,1,6,6,8,1,0,5,4,23,1,1,1,0,1
1386,1,1944,1,1,6,6,11,2,0,2,5,31,2,1,1,1,1
1386,2,1947,2,2,5,5,11,2,0,2,5,31,2,0,0,1,1
1392,1,1943,1,1,6,5,8,2,0,3,5,30,2,1,1,1,1
1392,2,1946,2,2,4,4,8,2,0,3,5,30,2,0,0,1,1
1419,2,1957,2,1,7,7,4,2,0,5,5,30,5,1,0,0,2
1419,3,1956,1,6,6,6,1,2,0,5,5,30,5,0,0,0,2
1420,1,1935,1,1,3,3,8,1,0,1,1,28,1,1,1,0,1
1514,1,1942,1,1,6,6,8,2,0,3,2,28,2,1,1,1,1
1514,2,1944,2,2,6,6,8,2,0,3,2,28,2,0,0,1,1
1524,1,1968,2,2,5,5,1,4,2,4,2,28,3,0,0,1,1
1524,2,1965,1,1,3,3,1,4,2,4,2,28,3,1,1,1,1
1524,3,1996,1,5,1,1,1,4,2,4,2,28,3,0,0,1,1
1524,4,2002,1,5,3,3,6,4,2,4,2,28,3,0,0,1,1
1549,1,1935,1,1,4,4,8,1,0,1,1,27,1,1,1,0,2
1554,1,1943,1,1,6,6,8,2,0,3,5,31,2,1,1,1,1
1554,3,1948,2,3,3,3,7,2,0,3,5,31,2,0,0,1,1
1679,1,1958,1,1,5,3,1,2,0,5,5,31,2,0,1,1,1
1679,2,1964,2,2,3,3,1,2,0,5,5,31,2,1,0,1,1
1684,1,1943,1,1,3,2,8,2,0,4,3,20,2,1,1,1,1
1684,2,1944,2,2,3,3,8,2,0,4,3,20,2,0,0,1,1
1757,1,1958,1,1,4,4,1,1,0,3,4,25,1,1,1,0,1
1796,1,1951,2,1,6,6,8,1,0,1,1,27,1,1,1,0,2
1802,1,1948,1,1,6,6,8,2,0,3,5,30,2,1,1,1,1
1802,2,1949,2,2,5,5,8,2,0,3,5,30,2,0,0,1,1
1952,1,1953,1,1,3,2,1,4,2,1,2,28,3,1,1,1,2
1952,2,1956,2,2,3,2,1,4,2,1,2,28,3,0,0,1,2
1952,3,1988,1,5,6,6,5,4,2,1,2,28,3,0,0,1,2
1952,4,1990,1,5,5,5,1,4,2,1,2,28,3,0,0,1,2
1968,1,1958,1,1,3,3,1,1,0,1,1,28,1,1,1,0,2
1973,1,1953,1,1,5,5,1,1,0,1,1,28,1,1,1,0,2
2004,1,1962,2,1,5,5,1,2,0,5,4,25,2,0,0,1,1
2004,2,1962,1,2,6,6,1,2,0,5,4,25,2,1,1,1,1
2014,1,1958,1,2,3,3,1,4,2,2,1,27,3,0,1,1,1
2014,2,1964,2,1,5,3,1,4,2,2,1,27,3,1,0,1,1
2014,3,1997,2,5,4,4,6,4,2,2,1,27,3,0,0,1,1
2014,4,2001,2,5,6,6,6,4,2,2,1,27,3,0,0,1,1
2049,1,1944,1,1,3,3,8,1,0,2,2,28,1,1,1,0,2
2108,2,1956,2,1,3,3,9,1,0,3,2,27,1,1,1,0,2
2117,1,1948,1,1,7,7,8,2,0,4,5,30,2,0,1,1,1
2117,2,1948,2,2,7,6,8,2,0,4,5,30,2,1,0,1,1
2144,1,1963,1,1,5,5,4,1,0,4,4,24,1,1,1,0,2
2165,1,1941,1,1,5,5,8,2,0,3,5,30,2,1,1,1,1
2165,2,1942,2,2,3,3,7,2,0,3,5,30,2,0,0,1,1
2189,1,1939,2,1,6,6,8,1,0,2,2,27,1,1,1,0,1
2200,1,1960,1,1,3,3,1,3,1,5,3,22,3,1,1,1,1
2200,2,1957,2,2,5,5,4,3,1,5,3,22,3,0,0,1,1
2200,5,1997,2,5,9,3,6,3,1,5,3,22,3,0,0,1,1
2212,1,1956,1,1,7,7,1,1,0,1,1,27,1,1,1,0,1
2244,1,1953,2,2,3,3,7,2,0,5,3,21,2,1,0,1,1
2244,3,1950,1,1,5,5,8,2,0,5,3,21,2,0,1,1,1
2266,1,1961,2,1,5,5,1,1,0,1,2,27,1,1,1,0,2
2338,1,1952,1,1,6,6,8,2,0,3,4,25,2,1,1,1,1
2338,2,1952,2,2,5,5,8,2,0,3,4,25,2,0,0,1,1
2471,1,1951,2,1,7,4,8,1,0,1,1,27,1,1,1,0,2
2510,1,1937,2,2,3,3,8,2,0,4,2,27,2,0,0,1,1
2510,2,1940,1,1,6,6,8,2,0,4,2,27,2,1,1,1,1
2597,1,1950,1,1,7,4,8,2,0,4,5,30,2,1,1,1,1
2597,2,1952,2,2,3,3,8,2,0,4,5,30,2,0,0,1,1
2617,1,1943,1,1,3,3,8,2,0,3,4,25,2,1,1,1,1
2617,2,1943,2,2,3,3,8,2,0,3,4,25,2,0,0,1,1
2628,1,1940,1,1,3,3,8,2,0,3,2,26,2,1,1,1,2
2628,2,1943,2,2,3,3,8,2,0,3,2,26,2,0,0,1,2
2775,1,1946,1,1,6,6,11,2,0,5,5,30,2,0,1,1,1
2775,2,1948,2,2,6,6,7,2,0,5,5,30,2,1,0,1,1
2906,1,1957,1,1,7,7,1,2,0,3,1,27,2,1,1,1,1
2906,2,1962,2,2,4,3,7,2,0,3,1,27,2,0,0,1,1
2944,1,1942,1,1,3,3,8,1,0,4,4,23,1,1,1,0,1
3096,2,1935,1,1,5,5,11,1,0,4,5,30,1,1,1,0,1
3270,1,1953,1,1,6,6,8,2,0,5,2,28,2,1,1,1,1
3270,2,1954,2,2,3,3,7,2,0,5,2,28,2,0,0,1,1
3277,1,1931,1,1,4,4,8,2,0,2,5,30,2,0,1,1,2
3277,2,1936,2,2,3,3,7,2,0,2,5,30,2,1,0,1,2
3374,1,1950,1,1,6,6,8,2,0,3,5,30,2,0,1,1,1
3374,2,1952,2,2,4,4,8,2,0,3,5,30,2,1,0,1,1
3408,1,1934,1,1,3,3,8,2,0,5,2,28,2,0,1,1,1
3408,2,1939,2,2,3,3,7,2,0,5,2,28,2,1,0,1,1
3439,1,1936,1,3,3,3,8,2,0,2,4,25,2,1,0,1,1
3439,2,1945,1,1,6,6,8,2,0,2,4,25,2,0,1,1,1
3860,1,1948,1,1,6,6,8,2,0,2,5,30,2,1,1,1,1
3860,2,1949,2,3,5,5,8,2,0,2,5,30,2,0,0,1,1
3959,1,1943,1,1,7,7,8,2,0,2,1,28,2,1,1,1,1
3959,2,1950,2,2,4,4,7,2,0,2,1,28,2,0,0,1,1
3982,1,1931,2,2,3,3,7,2,0,2,4,25,2,1,0,1,1
3982,2,1932,1,1,3,3,8,2,0,2,4,25,2,0,1,1,1
4073,1,1948,2,1,4,4,8,1,0,5,2,29,1,1,1,0,2
4101,1,1949,1,1,6,5,8,2,0,3,5,30,2,0,1,1,1
4101,2,1957,2,2,7,7,8,2,0,3,5,30,2,1,0,1,1
4175,1,1949,2,1,3,3,7,1,0,4,4,25,1,1,1,0,2
4197,1,1954,1,1,6,6,1,1,0,1,1,28,1,1,1,0,1
4232,1,1947,2,2,6,6,8,2,0,2,5,31,2,0,0,1,1
4232,2,1948,1,1,7,6,8,2,0,2,5,31,2,1,1,1,1
4255,1,1959,2,1,7,7,1,1,0,2,5,30,1,1,1,0,2
4346,1,1966,1,1,5,5,1,2,0,3,5,30,2,0,1,1,1
4346,2,1967,2,2,4,4,1,2,0,3,5,30,2,1,0,1,1
5911,1,1933,1,1,6,6,8,1,0,4,2,29,1,1,1,0,1
7514,1,1954,1,1,4,4,1,1,0,1,1,28,1,1,1,0,1
8877,1,1941,2,1,7,7,12,1,0,3,5,30,1,1,1,0,2
8878,1,1944,1,1,3,3,8,2,0,5,2,26,2,1,1,1,2
8878,2,1953,2,2,3,3,8,2,0,5,2,26,2,0,0,1,2
8882,1,1958,1,1,5,5,1,1,0,5,3,21,1,1,1,0,1
8935,1,1981,2,1,6,5,1,2,0,1,3,20,2,1,1,1,2
8935,2,1972,1,2,5,5,11,2,0,1,3,20,2,0,0,1,2
9329,1,1947,2,1,3,3,7,1,0,5,4,25,1,1,1,0,2
9421,1,1938,2,1,3,2,8,1,0,2,2,27,1,1,1,0,1
9592,1,1967,2,1,6,6,1,1,0,2,2,26,1,1,1,0,1
9734,1,1943,2,1,6,3,8,1,0,3,1,28,1,1,1,0,1
9736,1,1945,1,1,3,2,8,1,0,5,2,29,1,1,1,0,2
9807,1,1949,1,1,3,3,8,2,0,2,4,25,2,1,1,1,2
9807,2,1948,2,2,3,3,8,2,0,2,4,25,2,0,0,1,2
9842,1,1931,1,1,7,7,8,1,0,1,3,20,1,1,1,0,1
9851,1,1986,1,1,6,6,1,2,0,2,4,23,2,1,1,1,1
9851,2,1987,2,3,6,6,1,2,0,2,4,23,2,0,0,1,1
10051,1,1949,1,1,7,4,8,2,0,1,3,20,2,1,1,1,1
10051,2,1951,2,3,7,4,11,2,0,1,3,20,2,0,0,1,1
10066,1,1951,1,1,3,3,8,2,0,4,5,30,2,0,1,1,1
10066,2,1953,2,2,3,3,8,2,0,4,5,30,2,1,0,1,1
10108,2,1959,2,1,3,3,1,1,0,5,2,27,1,1,1,0,1
10122,1,1954,1,1,4,4,1,2,0,4,3,21,2,0,1,1,1
10122,2,1957,2,2,4,4,1,2,0,4,3,21,2,1,0,1,1
10133,2,1942,1,1,4,4,8,2,0,3,2,27,2,1,1,1,1
10133,3,1944,2,2,5,5,7,2,0,3,2,27,2,0,0,1,1
10136,1,1964,1,1,5,5,1,4,2,3,2,28,3,1,1,1,1
10136,2,1965,2,2,4,3,7,4,2,3,2,28,3,0,0,1,1
10136,3,1995,1,5,5,5,1,4,2,3,2,28,3,0,0,1,1
10136,4,1998,1,5,5,3,1,4,2,3,2,28,3,0,0,1,1
10146,1,1953,1,1,3,3,9,1,0,2,4,25,1,1,1,0,2
10180,1,1963,1,1,7,7,1,2,0,1,1,27,2,1,1,1,1
10180,2,1968,1,3,7,7,7,2,0,1,1,27,2,0,0,1,1
10216,1,1962,1,1,6,6,1,2,0,3,5,31,2,1,1,1,1
10216,2,1956,2,2,6,6,1,2,0,3,5,31,2,0,0,1,1
10220,1,1950,1,1,3,3,8,1,0,2,1,28,1,1,1,0,1
10241,1,1936,1,1,7,7,8,1,0,2,2,27,1,1,1,0,1
10281,1,1945,1,1,3,3,8,2,0,1,1,27,2,1,1,1,2
10281,2,1947,2,2,3,3,7,2,0,1,1,27,2,0,0,1,2
10317,1,1951,2,1,7,7,8,1,0,3,3,21,1,1,1,0,2
10322,2,1954,1,1,4,4,3,1,0,1,2,26,1,1,1,0,1
10350,2,1948,2,1,6,6,8,1,0,2,2,28,1,1,1,0,1
10353,1,1960,1,1,3,3,1,3,1,4,4,25,3,1,1,1,1
10353,2,1962,2,2,3,3,7,3,1,4,4,25,3,0,0,1,1
10353,5,1992,1,5,5,5,1,3,1,4,4,25,3,0,0,1,1
10367,1,1941,1,1,3,3,8,2,0,4,4,25,2,0,1,1,1
10367,2,1944,2,2,5,5,7,2,0,4,4,25,2,1,0,1,1
10380,1,1957,1,1,7,4,1,1,0,1,1,27,1,1,1,0,2
10383,1,1970,2,1,6,5,1,3,2,2,4,23,4,1,1,0,2
10383,3,2002,2,5,6,4,6,3,2,2,4,23,4,0,0,0,2
10383,4,2004,2,5,4,2,6,3,2,2,4,23,4,0,0,0,2
10475,2,1937,2,1,3,3,8,1,0,4,5,30,1,1,1,0,1
10492,1,1946,2,2,7,7,8,2,0,1,3,20,2,1,0,1,1
10492,2,1955,1,1,7,7,1,2,0,1,3,20,2,0,1,1,1
10539,1,1975,2,1,7,7,1,3,1,4,5,31,3,1,1,1,1
10539,3,1973,1,2,5,5,1,3,1,4,5,31,3,0,0,1,1
10539,4,2010,1,5,2,8,13,3,1,4,5,31,3,0,0,1,1
10615,1,1953,2,2,4,4,7,2,0,2,3,21,2,1,0,1,2
10615,2,1953,1,1,3,3,9,2,0,2,3,21,2,0,1,1,2
10675,1,1953,1,1,4,4,11,2,0,4,5,30,2,1,1,1,1
10675,2,1958,2,2,5,5,1,2,0,4,5,30,2,0,0,1,1
10679,1,1941,1,1,3,3,8,2,0,2,5,30,2,0,1,1,1
10679,2,1946,2,2,3,2,7,2,0,2,5,30,2,1,0,1,1
10708,1,1934,2,2,3,3,7,2,0,2,2,27,2,0,0,1,2
10708,2,1936,1,1,5,5,8,2,0,2,2,27,2,1,1,1,2
10709,1,1952,1,1,2,2,3,2,0,3,5,31,2,1,1,1,2
10709,2,1955,2,2,3,3,7,2,0,3,5,31,2,0,0,1,2
10736,1,1947,2,1,6,6,8,1,0,2,2,27,1,1,1,0,1
10740,1,1943,2,2,7,7,11,2,0,5,2,28,2,0,0,1,1
10740,2,1945,1,1,7,7,7,2,0,5,2,28,2,1,1,1,1
10763,1,1929,1,2,7,7,8,2,0,2,2,27,2,1,1,1,1
10763,2,1929,2,1,6,6,7,2,0,2,2,27,2,0,0,1,1
10764,1,1934,1,1,6,6,8,1,0,3,5,31,1,1,1,0,1
10776,1,1948,1,1,7,7,3,2,0,3,5,31,2,1,1,1,1
10776,2,1950,2,2,6,6,3,2,0,3,5,31,2,0,0,1,1
10814,1,1949,1,1,6,6,8,2,0,3,4,25,2,0,1,1,1
10814,2,1954,2,2,5,5,7,2,0,3,4,25,2,1,0,1,1
10893,1,1942,1,1,7,7,8,2,0,2,4,25,2,1,1,1,1
10893,2,1943,2,2,6,6,11,2,0,2,4,25,2,0,0,1,1
10906,1,1954,2,2,3,3,1,2,0,3,5,30,2,1,0,1,2
10906,2,1955,1,1,3,3,1,2,0,3,5,30,2,0,1,1,2
10928,2,1964,2,1,9,9,1,2,1,2,2,28,4,1,1,0,1
10928,3,1993,2,5,6,6,1,2,1,2,2,28,4,0,0,0,1
10932,1,1948,1,1,6,6,12,1,0,1,1,28,1,1,1,0,2
10952,1,1947,1,1,7,7,8,2,0,2,4,25,2,0,1,1,1
10952,2,1947,2,2,3,3,7,2,0,2,4,25,2,1,0,1,1
10966,1,1950,1,1,6,6,8,2,0,4,4,23,2,1,1,1,1
10966,2,1952,2,2,3,3,8,2,0,4,4,23,2,0,0,1,1
11001,1,1948,1,1,6,6,8,2,0,5,4,25,2,0,1,1,1
11001,2,1950,2,2,6,6,8,2,0,5,4,25,2,1,0,1,1
11002,1,1927,1,1,6,6,8,2,0,5,5,30,2,1,1,1,1
11002,2,1940,2,3,6,5,8,2,0,5,5,30,2,0,0,1,1
11003,1,1951,1,1,7,7,8,2,0,4,2,28,2,1,1,1,1
11003,2,1953,2,2,5,5,8,2,0,4,2,28,2,0,0,1,1
11079,2,1936,2,1,3,3,11,1,0,5,3,21,1,1,1,0,2
11082,1,1939,1,1,7,4,8,2,0,4,5,30,2,1,0,1,1
11082,2,1950,2,3,7,6,8,2,0,4,5,30,2,0,1,1,1
11106,1,1960,2,1,7,7,1,1,0,4,2,27,1,1,1,0,1
11115,1,1960,1,1,6,6,8,3,1,2,2,28,3,0,1,1,1
11115,2,1963,2,2,3,3,7,3,1,2,2,28,3,1,0,1,1
11115,3,1988,2,5,7,4,4,3,1,2,2,28,3,0,0,1,1
11161,1,1961,2,2,6,6,1,4,2,4,5,31,3,1,0,1,1
11161,2,1963,1,1,7,6,1,4,2,4,5,31,3,0,1,1,1
11161,5,2000,1,5,5,3,6,4,2,4,5,31,3,0,0,1,1
11161,6,1993,1,5,7,6,1,4,2,4,5,31,3,0,0,1,1
11162,1,1937,1,1,6,6,8,1,0,1,2,26,1,1,1,0,1
11183,2,1952,1,1,3,3,1,1,0,4,4,25,1,1,1,0,2
11221,1,1962,1,1,5,5,1,4,2,4,2,29,3,1,1,1,1
11221,2,1974,2,2,5,5,1,4,2,4,2,29,3,0,0,1,1
11221,3,2004,1,5,3,2,6,4,2,4,2,29,3,0,0,1,1
11221,4,2006,1,5,3,2,6,4,2,4,2,29,3,0,0,1,1
11242,1,1945,1,1,6,6,8,3,0,3,5,30,5,1,0,1,1
11242,2,1946,2,2,3,2,8,3,0,3,5,30,5,0,0,1,1
11242,3,NA,2,4,NA,NA,8,3,0,3,5,30,5,0,1,1,1
11270,1,1945,1,1,6,6,8,1,0,3,2,29,1,1,1,0,1
11301,1,1961,1,2,4,2,1,2,0,5,5,31,2,1,0,1,1
11301,2,1966,2,1,6,6,1,2,0,5,5,31,2,0,1,1,1
11308,1,1956,1,1,5,5,11,1,0,2,4,23,1,1,1,0,2
11316,1,1956,1,1,5,5,1,2,0,2,2,28,2,1,1,1,1
11316,2,1958,2,2,5,5,1,2,0,2,2,28,2,0,0,1,1
11346,2,1939,2,1,3,3,8,1,0,4,2,29,1,1,1,0,1
11349,1,1947,1,1,5,5,8,2,0,4,5,31,2,1,1,1,1
11349,2,1949,2,2,3,3,7,2,0,4,5,31,2,0,0,1,1
11495,1,1956,1,1,3,3,1,2,0,3,5,31,2,1,1,1,1
11495,2,1959,2,2,3,3,1,2,0,3,5,31,2,0,0,1,1
11523,1,1950,1,1,3,3,8,2,0,4,2,27,2,1,1,1,1
11523,2,1948,2,2,3,3,8,2,0,4,2,27,2,0,0,1,1
11552,1,1931,2,1,2,1,7,1,0,NA,NA,NA,1,1,1,0,2
11583,1,1944,1,1,4,4,8,2,0,2,2,29,2,1,1,1,1
11583,2,1952,2,2,3,3,11,2,0,2,2,29,2,0,0,1,1
11608,1,1968,1,1,4,3,3,2,0,4,1,26,2,0,1,1,2
11608,3,1970,2,2,4,4,1,2,0,4,1,26,2,1,0,1,2
11652,1,1968,1,1,7,5,1,2,0,3,4,25,2,1,1,1,1
11652,2,1970,2,2,5,5,1,2,0,3,4,25,2,0,0,1,1
11745,2,1954,1,1,7,7,8,1,0,5,5,30,1,1,1,0,1
11842,1,1955,2,1,3,3,8,2,1,1,1,28,4,1,1,0,2
11842,4,1990,2,5,5,3,1,2,1,1,1,28,4,0,0,0,2
11846,1,1939,1,1,6,5,8,2,0,2,5,30,2,0,1,1,1
11846,2,1943,2,2,6,5,8,2,0,2,5,30,2,1,0,1,1
11850,1,1952,1,1,3,3,8,2,0,4,5,30,2,0,1,1,1
11850,2,1958,2,2,4,4,7,2,0,4,5,30,2,1,0,1,1
11866,1,1949,1,1,3,3,8,2,0,3,3,22,2,0,1,1,1
11866,2,1952,2,2,3,3,8,2,0,3,3,22,2,1,0,1,1
11934,1,1966,1,1,3,3,3,4,2,4,4,25,3,0,1,1,1
11934,2,1971,2,2,3,3,1,4,2,4,4,25,3,1,0,1,1
11934,3,1996,1,5,5,5,1,4,2,4,4,25,3,0,0,1,1
11934,4,2000,2,5,6,4,6,4,2,4,4,25,3,0,0,1,1
11961,1,1942,1,2,4,4,8,2,0,2,5,31,2,1,0,1,1
11961,2,1959,2,1,6,6,1,2,0,2,5,31,2,0,1,1,1
12063,1,1971,1,2,6,6,1,3,1,5,2,27,3,1,1,1,1
12063,2,1975,2,1,5,5,3,3,1,5,2,27,3,0,0,1,1
12063,4,2003,2,5,4,2,6,3,1,5,2,27,3,0,0,1,1
12103,1,1950,2,1,3,3,8,1,0,5,2,28,1,1,1,0,1
12108,2,1957,2,1,3,3,3,3,0,3,2,28,5,1,1,0,1
12108,3,1981,1,7,5,5,1,3,0,3,2,28,5,0,0,0,1
12108,4,1988,2,7,5,5,1,3,0,3,2,28,5,0,0,0,1
12115,2,1949,2,1,5,5,8,1,0,3,4,25,1,1,1,0,1
12118,1,1969,2,1,7,7,1,2,1,2,4,25,4,1,1,0,2
12118,3,2007,1,5,4,2,6,2,1,2,4,25,4,0,0,0,2
12137,1,1949,1,1,7,7,8,2,0,2,4,25,2,1,1,1,1
12137,2,1953,2,2,3,2,7,2,0,2,4,25,2,0,0,1,1
12165,1,1963,2,1,7,6,8,1,0,2,1,28,1,1,1,0,1
12171,1,1946,1,1,3,3,8,2,0,4,2,26,2,0,1,1,1
12171,2,1949,2,2,3,3,7,2,0,4,2,26,2,1,0,1,1
12183,1,1952,1,1,4,4,8,2,0,5,3,21,2,1,1,1,2
12183,2,1953,2,3,3,1,3,2,0,5,3,21,2,0,0,1,2
12187,1,1951,2,2,5,5,8,2,0,5,3,21,2,0,0,1,1
12187,2,1954,1,1,6,6,1,2,0,5,3,21,2,1,1,1,1
12190,2,1959,1,1,6,6,1,1,0,2,2,27,1,1,1,0,2
12198,1,1929,2,2,7,7,8,2,0,1,1,27,2,0,0,1,1
12198,2,1938,1,1,7,7,8,2,0,1,1,27,2,1,1,1,1
12202,1,1969,1,1,6,6,1,5,3,3,5,30,3,1,1,1,1
12202,3,1998,2,5,6,6,1,5,3,3,5,30,3,0,0,1,1
12202,4,2001,1,5,5,5,6,5,3,3,5,30,3,0,0,1,1
12202,5,2002,1,5,5,3,6,5,3,3,5,30,3,0,0,1,1
12202,7,1970,2,3,5,5,7,5,3,3,5,30,3,0,0,1,1
12229,1,1934,2,1,4,4,8,1,0,1,2,26,1,1,1,0,2
